ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
,06,3,4,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3
,07,3,4,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3
,08,3,4,3,3,3,3,3,4,3,3,4,3,3,3,2,4,3,3
,09,3,4,3,3,3,3,3,4,3,3,4,3,3,4,3,4,3,4
,10,4,4,4,4,4,4,3,4,3,3,4,3,4,4,3,4,4,4
,11,4,4,4,4,4,4,4,4,4,3*,4,4,4,4,4,4,4,5
,12,4*,4,4,5,4,4,4,5,5,4*,5,4,5,4,5,5,4,5
,13,4*,5,5,5,5,5,5,5,5,5*,5,5,5,6*,5,5,5,5
,14,5*,5*,6,6,5,5,5,6,6,6,6,6,6,7*,6,6,5,5*
,15,5*,5*,6,6,5,5,6,6,7,6,6,6,6,7*,6,6,5,6
,16,5,5*,6,6,5,5,5,6,7,6,6,6,6,7*,6,6,5,5
,17,4,4,5,5,4,4,5,6,6,6,5,6,5,7,6,5,4,5
,18,4,4,4,5,4,4,4,5,6,5,5,5,5,6,6,4,4,5
,19,4,4,4,4,4,4,4,4,5,4,4,4,4,6,5,4,4,4
,20,3,3,4,4,3,3,3,4,4,4,4,4,4,5,5,3,3,4
,21,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3
,22,2,2,3,3,2,3,3,3,3,2,3,3,3,4,3,3,3,3
,23,2,2,3,2,2,2,2,3,3,2,3,3,2,3,3,3,2,3
,24,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2
,Daily Max,5,5,6,6,5,5,6,6,7,6,6,6,6,7,6,6,5,6
2025-07-08,01,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2
,02,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2
,04,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,07,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2
,08,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2
,09,2,2,3,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3
,10,2,2,3,3,2,3,2,3,2,2,3,3,3,3,2,3,3,3
,11,2,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3
,12,2,3,3*,3,3*,3,3,3,3,3,3,3,3,3*,3,3*,3*,3
,13,2,3,3*,3,3*,3,2,3,3,3,3,3,3,3*,3,3*,2*,3
,14,3,3,3,3,3*,3,2,3,3,2,3,3,3,3*,3,3*,2*,3
,15,3,3,3,3,3*,3,2,3,3,2,3,3,3,3*,3,3*,3,3
,16,3,3,3,3,3*,3,2,3,3,2,3,3,3,3*,3,3*,3,3
,17,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3*,3,3
,18,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
,19,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
,20,2,3,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3
,21,2,3,3,2,2,3,2,2,2,2,3,2,2,3,2,3,3,3
,22,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3
,23,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3
,24,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3
,Daily Max,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2025-07-09,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-*,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-*,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,07,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,08,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2
,09,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,10,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,3
,11,3,3,3,3,3,3,2,3,3,3,3,2,2*,3,2,3,3,3
,12,3,3,3,3,3,3,3,3,3,3,3,3,2*,3*,2,3,3,3
,13,3,3,3,3,3,3,3,3,4,3,4,4,4*,3*,2,3,3,4
,14,3,3,3,4,4,4*,3,3,5,4,4,4,4,4*,-*,3,3,4
,15,4,3,4,4,4,4*,4,4,5,4,4,5,5,5*,-*,4,4,4
,16,3,4*,4,4,4,4,4,4,6,4,4,5,4,5*,5,4,4,4
,17,3,3,4,4,3,3,4,4,5,4,4,5,4,6,5,4,3,4
,18,3,3,3,3,3,3,3,4*,5,4,4,4,3,5,4,3,3,4
,19,3,3,3,3,3,3,3,4*,4,3,3,4,3,4,4,3,3,4
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Daily Max,4,4,4,4,4,4,4,4,6,4,4,5,5,6,5,4,4,4
2025-07-10,01,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
,02,3,3,3,3,3,3,3*,3,3,3,3,3,3,4,3,3,3,3
,03,3,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,05,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3*,3,3,3,2,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3
,08,3,2,3,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3
,09,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4*,3,4
,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3*,3,4
,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4*,3,4
,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4*,3,4
,16,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4*,4,4
,17,3,3,3,4,4,4,3,3*,3,3,3,3,3,3,3,4*,4,4
,18,3,3,3,4,4,4,3,3*,3,3,3,3,3,3,3,4,4,4
,19,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,4,4,4
,20,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,4,4,4
,21,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,4,3,4
,22,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,4
,23,3,3,3,3,3,3*,3,2,2,3,2,2,3,3,2,3,3,3
,24,3,2,3,3,3,3*,3,2,2,3,2,2,2,2*,2,3,3,3
,Daily Max,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4
2025-07-11,01,2*,2,2,3,3,2*,2,2,2,3,2,2,2,2*,2,3,3,3
,02,2*,2,2,3,3,2*,2,2*,2,2,2,2,2,2*,2,3,3,3*
,03,2*,2,2,3,3,2*,2,2*,2,2,2,2,2,2*,2,3*,3,3*
,04,2*,2,2,3,3,2*,2,2*,2,2,2,2,2,2*,2,3*,3,3*
,05,2*,3*,2,2*,3,2*,2,2*,2,2,2,2,2,2*,2,2*,2,2*
,06,2*,2*,2,2*,3,2*,2,2*,2,2,2,2,2,2*,2,2*,2,2*
,07,2*,2*,2*,2*,3,2*,2,2*,2,2,2,2,2,2*,1,2*,2,2*
,08,2*,2*,2*,2*,2,2*,2,2*,2,2,2,2,2,2*,-*,2*,2,2*
